,event_date,landslide_trigger,landslide_size,fatality_count,injury_count,latitude,longitude
4628,2007-07-30 00:00:00.000000,downpour,medium,,,30.4,79.349
5090,2007-07-30 00:00:00.000000,downpour,medium,2.0,,30.733,78.439
22517,2007-07-30 00:00:00.000000,downpour,medium,,,30.557,79.56
4645,2007-08-11 00:00:00.000000,rain,medium,,,30.0702,78.3027
4400,2007-08-12 00:00:00.000000,rain,medium,,,29.57990613,80.50476155
55,2007-09-06 00:00:00.000000,rain,large,,,29.5833,80.2167
23466,2007-09-11 00:00:00.000000,rain,medium,,,29.8496,80.5544
23338,2007-09-15 00:00:00.000000,rain,medium,,,29.5333,80.4333
3464,2008-07-18 00:00:00.000000,rain,medium,14.0,,29.33,80.1
5325,2008-07-18 00:00:00.000000,monsoon,medium,8.0,,28.9,80.87
21714,2008-09-20 00:00:00.000000,downpour,medium,5.0,,29.11803174,80.67774011
24104,2008-09-21 00:00:00.000000,downpour,medium,26.0,,28.833,80.9
2466,2009-08-08 02:00:00.000000,downpour,large,15.0,,29.5885,80.2098
846,2009-08-17 18:00:00.000000,continuous_rain,medium,0.0,,29.4085,80.1327
21685,2009-08-17 23:00:00.000000,downpour,medium,1.0,,29.3083,80.5792
4451,2009-08-18 00:00:00.000000,downpour,medium,1.0,,29.1917,80.8708
23641,2009-08-20 00:00:00.000000,downpour,medium,0.0,,29.0958,80.3125
24764,2009-09-01 15:00:00.000000,downpour,medium,3.0,,29.7036,78.5658
22127,2009-10-06 00:00:00.000000,downpour,large,12.0,,29.2833,80.675
25352,2009-12-23 00:00:00.000000,rain,medium,1.0,,29.48,80.94
24591,2010-02-23 00:00:00.000000,downpour,medium,2.0,1.0,30.38069426,78.47049965
5624,2010-07-06 00:00:00.000000,downpour,medium,0.0,,30.638,78.3297
4609,2010-07-06 00:00:00.000000,downpour,medium,0.0,,30.2485,78.8847
22817,2010-07-17 00:00:00.000000,downpour,medium,0.0,,29.2675,80.9499
2207,2010-07-20 00:00:00.000000,downpour,medium,0.0,,29.36,80.126
25378,2010-07-20 00:00:00.000000,downpour,medium,0.0,,29.9862,78.6115
24249,2010-07-20 18:00:00.000000,downpour,medium,1.0,,29.3576,79.5519
1306,2010-07-22 00:00:00.000000,downpour,medium,1.0,,29.6095,79.6628
24617,2010-07-29 00:00:00.000000,downpour,medium,0.0,,30.4054,79.3426
20473,2010-07-29 00:00:00.000000,downpour,medium,0.0,,30.7467,78.4517
22429,2010-08-05 08:00:00.000000,downpour,medium,5.0,,30.4068,79.3351
2205,2010-08-09 00:00:00.000000,downpour,medium,0.0,,30.6785,78.3475
1548,2010-08-09 00:00:00.000000,downpour,medium,0.0,,30.6463,79.5306
22515,2010-08-09 00:00:00.000000,downpour,medium,0.0,,30.5151,78.3684
