,crh1,crh2,crh3,crh4,crh5,crh6,crh7,crh8,crh9,crh10,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10
0,32.0,37.0,26.0,35.0,23.0,24.0,23.0,0.0,2.0,16.0,12.589998,12.67,75.675,37.535004,7.6,4.64,8.41,0.0,0.145,7.99
1,28.0,19.0,22.0,6.0,4.0,12.0,2.0,4.0,4.0,15.0,19.52,20.855,23.59,0.83000004,1.15,3.705,0.08499999,0.44,0.36,8.245
2,15.0,14.0,11.0,6.0,16.0,15.0,5.0,2.0,6.0,2.0,22.13,7.035,12.08,4.115,22.265,4.42,5.3849998,0.45,4.295,0.39
3,30.0,18.0,10.0,8.0,10.0,6.0,7.0,1.0,10.0,27.0,23.299995,9.150001,7.1949997,1.5649999,17.585,2.185,11.545,0.26999998,12.71,38.114994
4,6.0,1.0,13.0,11.0,4.0,20.0,14.0,14.0,22.0,40.0,1.9399999,0.16499999,17.904999,6.615,6.0249996,19.534998,8.880001,22.565002,54.6,147.41496
5,21.0,22.0,12.0,7.0,5.0,0.0,3.0,4.0,11.0,14.0,25.865002,18.724998,5.98,6.3899994,1.8049998,0.0,1.165,12.5,13.785,10.079999
6,8.0,17.0,24.0,29.0,4.0,7.0,1.0,4.0,11.0,12.0,1.6700001,27.764997,33.425,35.974995,0.53,3.25,0.06,0.48999998,2.8599997,2.6550002
7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8449993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,9.0,5.0,18.0,18.0,6.0,1.0,12.0,21.0,10.0,0.0,6.42,2.8149998,10.905,8.2,5.0099998,0.015,10.695,21.935,3.7349997
9,2.0,16.0,6.0,20.0,42.0,12.0,19.0,5.0,21.0,15.0,1.16,10.78,3.1949997,20.775,56.124996,4.595,12.750002,2.1699998,18.654999,11.205001
10,17.0,10.0,5.0,2.0,0.0,1.0,3.0,17.0,31.0,45.0,8.56,4.045,0.38499993,0.325,0.0,0.16,0.61,3.975,76.745,195.315
11,20.0,25.0,6.0,1.0,9.0,2.0,15.0,35.0,48.0,11.0,33.975,18.479998,2.11,0.065,2.2249997,0.585,18.04,114.71001,110.595,5.855
12,0.0,0.0,0.0,6.0,0.0,17.0,19.0,28.0,6.0,0.0,0.0,0.0,0.0,2.15,0.0,11.115,12.219999,8.100001,1.7749999,0.0
13,0.0,2.0,9.0,4.0,10.0,10.0,31.0,32.0,48.0,48.0,0.0,0.13,9.175,1.8,7.825,4.4649997,49.865005,40.339996,69.93999,145.25499
14,8.0,0.0,3.0,8.0,17.0,11.0,38.0,33.0,48.0,45.0,8.42,0.0,0.62,1.02,8.7,8.325,73.27,54.185005,66.12,143.975
15,2.0,5.0,11.0,14.0,26.0,32.0,25.0,38.0,48.0,28.0,1.31,1.655,3.85,16.605,32.394997,58.399994,33.750004,45.670006,120.50499,28.875
16,0.0,15.0,31.0,29.0,24.0,45.0,48.0,19.0,1.0,0.0,0.0,45.395,43.004997,47.454998,34.62,48.285004,130.185,35.09,0.11,0.0
17,0.0,4.0,0.0,2.0,8.0,0.0,4.0,10.0,1.0,10.0,0.0,1.285,0.0,0.51,5.98,0.0,0.6999999,4.3199997,0.12,17.849998
18,0.0,0.0,0.0,0.0,0.0,3.0,12.0,44.0,47.0,44.0,0.0,0.0,0.0,0.0,0.0,0.17999999,4.695,43.964996,169.37494,100.58502
19,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.095,0.81500006,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.074999996
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7250004,9.235
21,7.0,0.0,0.0,3.0,3.0,0.0,16.0,17.0,31.0,40.0,0.44,0.0,0.0,0.18,1.22,0.0,5.565,78.5,152.15001,31.970003
22,2.0,2.0,0.0,9.0,6.0,0.0,15.0,7.0,26.0,22.0,0.085,0.49499997,0.0,0.72499996,1.025,0.0,3.6049998,6.9749994,81.415,21.649998
23,0.0,5.0,9.0,18.0,15.0,2.0,16.0,6.0,18.0,26.0,0.0,0.67499995,14.335001,19.885,5.0200005,0.65,4.9249997,9.425,35.734997,12.815001
24,11.0,6.0,9.0,0.0,6.0,14.0,18.0,15.0,48.0,40.0,7.2000003,1.155,3.085,0.0,10.73,11.974999,17.085,9.514999,81.40502,41.710003
25,11.0,23.0,4.0,3.0,10.0,2.0,14.0,17.0,31.0,33.0,12.474998,20.28,0.29,1.325,5.475,0.59499997,3.1899998,10.964998,15.615,43.864998
26,9.0,9.0,0.0,8.0,5.0,7.0,11.0,27.0,48.0,47.0,5.005,2.7400005,0.0,3.2800002,5.6049995,2.59,2.775,44.864998,49.790005,40.704998
27,0.0,2.0,2.0,11.0,20.0,11.0,47.0,48.0,20.0,20.0,0.0,0.44,0.36499998,7.52,15.894999,1.495,37.175,53.04999,34.489994,8.875
28,48.0,42.0,43.0,25.0,29.0,28.0,43.0,48.0,39.0,27.0,27.989998,50.464996,4.91,1.6950002,33.764996,19.705,28.865002,27.965004,5.035,12.745001
29,23.0,16.0,17.0,5.0,11.0,27.0,42.0,40.0,18.0,6.0,4.045,2.1200001,2.6100001,0.48499998,2.3349998,29.95,25.255001,28.375,3.3400002,0.50999993
30,48.0,39.0,27.0,43.0,39.0,28.0,38.0,23.0,28.0,37.0,27.965004,5.035,12.745001,59.89,31.924995,14.640001,21.515001,7.044999,36.124996,10.235001
31,40.0,19.0,17.0,18.0,18.0,32.0,7.0,18.0,24.0,11.0,35.749992,11.309999,38.415,18.365,53.149994,27.914997,4.8,32.72,22.445,23.24
32,17.0,26.0,7.0,16.0,25.0,31.0,15.0,10.0,6.0,3.0,39.949997,45.069996,2.805,9.08,62.295,26.794996,10.36,5.895,8.905001,0.49
33,43.0,17.0,18.0,17.0,21.0,31.0,7.0,23.0,17.0,15.0,46.425,18.395,40.54,14.379999,47.7,31.585,2.785,19.654999,17.65,21.375002
34,25.0,37.0,13.0,21.0,20.0,41.0,27.0,23.0,7.0,2.0,13.150002,17.529999,2.205,33.024998,34.350002,19.52,62.035004,6.589999,1.0099999,0.41000003
35,15.0,17.0,1.0,13.0,9.0,18.0,14.0,12.0,24.0,25.0,6.34,15.089999,0.145,2.82,7.345,10.765,5.76,4.2549996,42.159996,10.69
36,46.0,44.0,19.0,12.0,33.0,21.0,33.0,12.0,33.0,23.0,37.94,65.77,7.33,5.9900002,9.775,4.135,21.415,1.2399999,16.534998,99.125
